id.title,title,author,score,genre,popularty,volume,status,type,chapter,favorites,years start,years finish,scored_by,mal_url
19357,Shinrei Tantei Yakumo,"Kaminaga Manabu,Suzuki Yasushi,Katou Akatsuki",7.87,"Horror,Mystery,Supernatural,Super Power",4956,12.0,Finished,Novel,,53,2004.0,2020.0,499.0,https://myanimelist.net/manga.php?q=Shinrei%20Tantei%20Yakumo&cat=all
123756,Shousetsu Tenki no Ko,Shinkai Makoto,7.86,"Drama,Fantasy,Romance,Slice of Life",18712,1.0,Finished,Novel,13.0,10,2019.0,,272.0,https://myanimelist.net/manga.php?q=Shousetsu%20Tenki%20no%20Ko&cat=all
122531,Kimi wa Tsukiyo ni Hikarikagayaku,"loundraw,Sano Tetsuya",7.81,"Drama,Romance",13411,1.0,Finished,Novel,4.0,40,2017.0,,401.0,https://myanimelist.net/manga.php?q=Kimi%20wa%20Tsukiyo%20ni%20Hikarikagayaku&cat=all
117586,Battle Royale,Takami Koushun,7.8,"Action,Suspense,Survival",19481,1.0,Finished,Novel,82.0,52,1999.0,,241.0,https://myanimelist.net/manga.php?q=Battle%20Royale&cat=all
113830,Hibike! Euphonium,"Asada Nikki,Takeda Ayano",7.79,"Drama,Music,Performing Arts,School",11696,10.0,Finished,Novel,66.0,30,2013.0,2019.0,236.0,https://myanimelist.net/manga.php?q=Hibike%21%20Euphonium&cat=all
37979,Biblia Koshodou no Jiken Techou,"Mikami En,Koshijima Hagu",7.73,"Drama,Mystery",8624,7.0,Finished,Novel,36.0,34,2011.0,2017.0,261.0,https://myanimelist.net/manga.php?q=Biblia%20Koshodou%20no%20Jiken%20Techou&cat=all
159475,Mo Dao Zu Shi Fanwai Ji,Mo Xiang Tong Xiu,7.7,"Action,Adventure,Boys Love,Mystery,Supernatural,Historical",23300,1.0,Finished,Novel,4.0,6,2020.0,,173.0,https://myanimelist.net/manga.php?q=Mo%20Dao%20Zu%20Shi%20Fanwai%20Ji&cat=all
26474,Mawaru Penguindrum,"Hoshino Lily,Ikuhara Kunihiko,Takahashi Kei",7.69,Mystery,7526,3.0,Finished,Novel,24.0,17,2011.0,2012.0,350.0,https://myanimelist.net/manga.php?q=Mawaru%20Penguindrum&cat=all
156240,Lout of Count's Family,Yu Ryeo Han,7.68,"Fantasy,Isekai,Reincarnation",22199,,Publishing,Novel,,65,2022.0,,186.0,https://myanimelist.net/manga.php?q=Lout%20of%20Count%27s%20Family&cat=all
134181,Yojouhan Shinwa Taikei,Morimi Tomihiko,7.66,"Comedy,Mystery,Romance,Psychological,Time Travel",17167,1.0,Finished,Novel,4.0,17,2004.0,,161.0,https://myanimelist.net/manga.php?q=Yojouhan%20Shinwa%20Taikei&cat=all
11028,Kemono no Souja,"Uehashi Nahoko,Takemoto Itoe",7.65,"Drama,Fantasy,Mystery",14848,4.0,Finished,Novel,,16,2006.0,2009.0,147.0,https://myanimelist.net/manga.php?q=Kemono%20no%20Souja&cat=all
125842,Koisuru Kiseichuu,Miaki Sugaru,7.65,"Drama,Romance,Supernatural",10680,1.0,Finished,Novel,9.0,32,2016.0,,444.0,https://myanimelist.net/manga.php?q=Koisuru%20Kiseichuu&cat=all
144859,Summer Ghost,Otsuichi,7.64,"Drama,Supernatural",16163,1.0,Finished,Novel,,9,2021.0,,186.0,https://myanimelist.net/manga.php?q=Summer%20Ghost&cat=all
4639,Brave Story,Miyabe Miyuki,7.61,"Adventure,Fantasy,Isekai",15584,2.0,Finished,Novel,70.0,11,2003.0,,213.0,https://myanimelist.net/manga.php?q=Brave%20Story&cat=all
150413,Villains Are Destined to Die,Gwon Gyeoeul,7.55,"Drama,Fantasy,Romance,Reverse Harem,Villainess",28603,4.0,Finished,Novel,22.0,14,2020.0,,108.0,https://myanimelist.net/manga.php?q=Villains%20Are%20Destined%20to%20Die&cat=all
120455,Quanzhi Gaoshou,Hudie Lan,7.54,"Action,Video Game",28048,24.0,Finished,Novel,608.0,33,2012.0,2016.0,124.0,https://myanimelist.net/manga.php?q=Quanzhi%20Gaoshou&cat=all
153041,Shousetsu Suzume no Tojimari,Shinkai Makoto,7.53,"Fantasy,Mythology",17499,1.0,Finished,Novel,24.0,12,2022.0,,154.0,https://myanimelist.net/manga.php?q=Shousetsu%20Suzume%20no%20Tojimari&cat=all
148838,Kimi wo Aishita Hitori no Boku e,Yomoji Otono,7.53,"Romance,Sci-Fi",16445,1.0,Finished,Novel,11.0,10,2016.0,,135.0,https://myanimelist.net/manga.php?q=Kimi%20wo%20Aishita%20Hitori%20no%20Boku%20e&cat=all
148837,Boku ga Aishita Subete no Kimi e,Yomoji Otono,7.53,"Romance,Sci-Fi",13716,1.0,Finished,Novel,10.0,14,2016.0,,158.0,https://myanimelist.net/manga.php?q=Boku%20ga%20Aishita%20Subete%20no%20Kimi%20e&cat=all
155115,Solo Leveling Side Story,Chugong,7.51,"Action,Adventure,Fantasy,Adult Cast",6972,1.0,Finished,Novel,12.0,20,2018.0,,1475.0,https://myanimelist.net/manga.php?q=Solo%20Leveling%20Side%20Story&cat=all
33357,Summer Wars,Iwai Kyohei,7.49,"Comedy,Romance,Sci-Fi,Strategy Game",11949,1.0,Finished,Novel,5.0,13,2009.0,,303.0,https://myanimelist.net/manga.php?q=Summer%20Wars&cat=all
13583,Ring,Suzuki Koji,7.48,Horror,11703,1.0,Finished,Novel,25.0,19,1991.0,,343.0,https://myanimelist.net/manga.php?q=Ring&cat=all
122943,Bishounen Series,"NISIO ISIN,Kinako",7.41,"Mystery,School,Visual Arts",11358,12.0,Finished,Novel,,30,2015.0,2021.0,183.0,https://myanimelist.net/manga.php?q=Bishounen%20Series&cat=all
13585,Rasen,Suzuki Koji,7.37,Horror,16952,1.0,Finished,Novel,47.0,5,1995.0,,226.0,https://myanimelist.net/manga.php?q=Rasen&cat=all
127362,Penguin Highway,"Morimi Tomihiko,Kumaori Jun",7.33,"Fantasy,Sci-Fi",18978,1.0,Finished,Novel,4.0,10,2010.0,,129.0,https://myanimelist.net/manga.php?q=Penguin%20Highway&cat=all
123936,The Legendary Moonlight Sculptor,Nam Heesung,7.32,"Action,Adventure,Fantasy,Video Game",27371,58.0,Finished,Novel,545.0,58,2007.0,2020.0,135.0,https://myanimelist.net/manga.php?q=The%20Legendary%20Moonlight%20Sculptor&cat=all
127213,Mirai no Mirai,Hosoda Mamoru,7.28,"Adventure,Drama,Fantasy,Time Travel",23227,1.0,Finished,Novel,15.0,3,2018.0,,120.0,https://myanimelist.net/manga.php?q=Mirai%20no%20Mirai&cat=all
48271,Youkai Apartment no Yuuga na Nichijou,Kouzuki Hinowa,7.24,"Mystery,Slice of Life,Supernatural",19706,10.0,Finished,Novel,,6,2003.0,2009.0,115.0,https://myanimelist.net/manga.php?q=Youkai%20Apartment%20no%20Yuuga%20na%20Nichijou&cat=all
120961,Konyaku Haki kara Hajimaru Akuyaku Reijou no Kangoku Slow Life,"Nabeshima Tetsuhiro,Yamazaki Hibiki",7.23,"Comedy,Fantasy,Villainess",19677,2.0,Finished,Novel,46.0,8,2019.0,,222.0,https://myanimelist.net/manga.php?q=Konyaku%20Haki%20kara%20Hajimaru%20Akuyaku%20Reijou%20no%20Kangoku%20Slow%20Life&cat=all
